"","WillowSubNo","PayCode","movieCheck","trialNo","itemId","eventOrder","blockOrder","eventType","condition","manner","result","verbName","verbMeaning","seeAmbigV1","seeAmbigV2","seeBiasV1","seeBiasV2","seeTrain1a","seeTrain2a","seeTrain3a","seeTrain1b","seeTrain2b","seeTrain3b","seeTestV1","seeTestV2","ambigS","ambigV","bias1","bias2","biasV1Ans","bias1RESP","biasV2Ans","bias2RESP","test1","test2","testV1Ans","test1RESP","testV2Ans","test2RESP","catchTrialNum","catchOrderedNum","catchTrialRESP","commentCheck","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.Comments","Answer.English","Answer.country","Approve","Reject","trialCount","SubNo"
"7","10","c228acd2edd10","two balls moving around","1","2","b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","comb","rip","gossing","comb","0","0","1","1","1","1","1","1","1","1","1","1","The monster is gossing the armchair.","comb.rip.armchair","bat.rip.kite","comb.open.book","0","1","1","1","hammer.rip.shirt","comb.flatten.burger","0","1","1","1","5 6 2 3 8","    23568","23568","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"2","10","c228acd2edd10","two balls moving around","10","2","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","carpet","down","glipping","carpet","1","1","1","1","1","1","1","1","1","1","1","1","The boy is glipping down to the lamp.","carpet.down.lamp","skate.down.seesaw","carpet.btw.throne","0","1","1","1","carpet.into.tower","ski.down.owl","1","","0","","5 6 2 3 9","    23569","23569","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"12","10","c228acd2edd10","two balls moving around","11","6","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","fly","through","torging","fly","1","1","1","1","1","1","1","1","1","1","1","1","The man is torging through the clouds.","fly.through.clouds","drive.through.tunnel","fly.under.birds","0","1","1","0","fly.behind.kite","sled.through.tree","1","","0","","5 8 8 3 8","    35888","35888","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"6","10","c228acd2edd10","two balls moving around","12","4","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","sled","around","birking","sled","0","1","0","0","1","1","1","1","1","1","1","1","The man is birking around the penguin.","sled.around.penguin","bike.around.birdhouse","sled.behind.polarbear","0","1","1","0","sled.under.butterflies","skate.around.horse","1","","0","","9 0 3 4 5","    03459","03459","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"3","10","c228acd2edd10","two balls moving around","13","7","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","balloon","over","molking","balloon","1","1","1","1","1","1","1","1","1","1","1","1","The girl is molking over the eagle. ","balloon.over.eagle","balloon.up.train","ski.over.bush","1","0","0","1","carpet.over.tiger","balloon.down.dog","0","","1","","7 3 1 6 6","    13667","13667","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"10","10","c228acd2edd10","two balls moving around","14","5","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","ski","between","pimming","ski","0","1","1","0","1","1","1","1","1","1","1","1","The man is pimming between the trees.","ski.btw.trees","ski.into.igloo","camel.between.trees","1","0","0","1","sail.between.mountains","ski.up.snowman","0","","1","","5 5 6 6 3","    35566","35566","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"5","10","c228acd2edd10","two balls moving around","15","8","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","camel","front","gossing","camel","1","0","0","1","1","1","1","1","1","1","1","1","The man is gossing in front of the pyramid.","camel.front.pyramid","sled.front.bunny","camel.around.goat","0","1","1","0","camel.through.oasis","drive.front.horse","1","","0","","7 4 3 1 7","    13477","13477","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"4","10","c228acd2edd10","two balls moving around","16","1","b1Causal_b2Motion","b1Means_b2Motion","Motion","Manner","drive","into","zarking","drive","1","1","1","1","1","1","1","1","1","1","1","1","The man is zarking into the house.","drive.into.house","drive.over.cone","fly.into.spaceship","1","0","0","1","bike.into.truck","drive.around.firehouse","0","","1","","7 5 4 5 1","    14557","14557","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"1","10","c228acd2edd10","two balls moving around","2","5","b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","knife","cut","gorping","knife","1","1","1","1","1","1","1","1","1","1","1","1","The monster is gorping the bread.","knife.cut.bread","knife.bend.fork","poker.cut.curtain","1","0","0","1","knife.crush.apple","trowel.cut.cheese","1","0","0","1","1 0 3 8 3","    01338","01338","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"9","10","c228acd2edd10","two balls moving around","3","6","b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","pliers","bend","klebbing","pliers","1","1","1","1","1","1","1","1","1","1","1","1","The monster is klebbing the candle.","pliers.bend.candle","hammer.bend.sunflower","pliers.cut.pizza","0","1","1","0","bat.bend.flagpole","pliers.empty.martiniglass","0","1","1","0","8 2 1 5 7","    12578","12578","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
"8","10","c228acd2edd10","two balls moving around","4","1","b1Causal_b2Motion","b1Means_b2Motion","Causal","Means","bat","break","blicking","bat","1","1","1","1","1","1","1","1","1","1","1","1","The monster is blicking the record.","bat.break.record","bat.flatten.cupcake","comb.break.cookies","1","0","0","1","bat.open.babybottle","pliers.break.eyeglasses","1","0","0","1","1 2 3 2 4","    12234","12234","","2U6BDDP8PJWK73VALZ23W391QMG5GF","29OQ8H88MQU6YV6DJP91XXX4AX09SQ","Merry Monster Survey","Watch videos and answer questions to learn new words (45 minutes)!","psychology, language, words, sentences, judgment","$1.25","Thu Oct 24 18:54:58 GMT 2013",60,"BatchId:1306006;",7200,864000,"Tue Oct 29 18:54:58 GMT 2013",NA,NA,"2U4J011K274JKZ2SKJS8T46ZJILDBV","A4GRO4JZRVP14","Submitted","Thu Oct 24 18:59:14 GMT 2013","Thu Oct 24 19:28:31 GMT 2013","Sun Nov 03 11:28:31 PST 2013","",NA,NA,1757,"100% (2/2)","100% (1/1)","100% (1/1)","","yes","USA",NA,NA,16,"1"
