,List,Experiment,amyFileName,itemID,eventType,Condition,Manner,Path,verbName,verbMeaning,ambigS_not_recording,ambig_going_to,ambig_did_it,ambigV,which_one,mbiasV,mbiasAns,pbiasV,pbiasAns,trainS1_not_recording,trainS1_going,trainS1_did_it,trainV1,trainS2_not_recording,trainS2_going,trainS2_did_it,trainV2,trainS3_not_recording,trainS3_going,trainS3_did_it,trainV3,which_one_not_recording,mtestV,mtestAns,ptestV,ptestAns,movieLenght,Side,ambigAudioFuture,ambigAudioPast,trainAudioFuture1,trainAudioPast1,trainAudioFuture2,trainAudioPast2,trainAudioFuture3,trainAudioPast3
11,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,3,Motion,Manner,sail ,up,sterping,sail ,The boy is sterping up to the swan.,The boy is going to sterp up to the swan.,The boy sterped up to the swan.,sail.up.swan.mov,Which one is sterping?,sail.down.seal.mov,1,carpet.up.monkey.mov,0,The boy is sterping in front of the penguin.,The boy is going to sterp in front of the penguin.,The boy sterped in front of the penguin.,sail.front.penguin.mov,The boy is sterping around the seagull.,The boy is going to sterp around the seagull.,The boy sterped around the seagull.,sail.around.seagull.mov,The boy is sterping through the waterfall.,The boy is going to sterp through the waterfall.,The boy sterped through the waterfall.,sail.through.waterfall.mov,Which one is sterping?,fly.up.bus.mov,0,sail.over.float.mov,1,7,T,sterping_manner_future_swan,sterping_manner_past_swan,sterping_manner_future_penguin,sterping_manner_past_penguin,sterping_manner_future_seagull,sterping_manner_past_seagull,sterping_manner_future_waterfall,sterping_manner_past_waterfall
12,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,4,Motion,Manner,sled,around,rithing,sled,The man is rithing around the penguin.,The man is going to rith around the penguin.,The man rithed around the penguin.,sled.around.penguin.mov,Which one is rithing?,bike.around.birdhouse.mov,0,sled.behind.polarbear.mov,1,The man is rithing into the cabin.,The man is going to rith into the cabin.,The man rithed into the cabin.,sled.into.cabin.mov,The man is rithing up to the gingerbread house.,The man is going to rith up to the gingerbread house.,The man rithed up to the gingerbread house.,sled.up.ginger.mov,The man is rithing down to the bear.,The man is going to rith down to the bear.,The man rithed down to the bear.,sled.down.bear.mov,Which one is rithing?,sled.under.butterflies.mov,1,skate.around.horse.mov,0,7,T,rithing_manner_future_penguin,rithing_manner_past_penguin,rithing_manner_future_cabin,rithing_manner_past_cabin,rithing_manner_future_ginger,rithing_manner_past_ginger,rithing_manner_future_bear,rithing_manner_past_bear
13,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,5,Motion,Manner,ski,between,lorping,ski,The man is lorping between the trees.,The man is going to lorp between the trees.,The man lorped between the trees.,ski.btw.trees.mov,Which one is lorping?,ski.into.igloo.mov,1,camel.between.trees.mov,0,The man is lorping around the deer.,The man is going to lorp around the deer.,The man lorped around the deer.,ski.around.deer.mov,The man is lorping through the gate. ,The man is going to lorp through the gate. ,The man lorped through the gate. ,ski.through.gate.mov,The man is lorping under the rainbow.,The man is going to lorp under the rainbow.,The man lorped under the rainbow.,ski.under.rainbow.mov,Which one is lorping?,sail.between.mountains.mov,0,ski.up.snowman.mov,1,7,T,lorping_manner_future_trees,lorping_manner_past_trees,lorping_manner_future_deer,lorping_manner_past_deer,lorping_manner_future_gate,lorping_manner_past_gate,lorping_manner_future_rainbow,lorping_manner_past_rainbow
14,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,6,Motion,Manner,fly,through,janging,fly,The man is janging through the clouds.,The man is going to jang through the clouds.,The man janged through the clouds.,fly.through.clouds.mov,Which one is janging?,drive.through.tunnel.mov,0,fly.under.birds.mov,1,The man is janging down to the cow.,The man is going to jang down to the cow.,The man janged down to the cow.,fly.down.cow.mov,The man is janging between the buildings.,The man is going to jang between the buildings.,The man janged between the buildings.,fly.btw.buildings.mov,The man is janging over the rollercoaster.,The man is going to jang over the rollercoaster.,The man janged over the rollercoaster.,fly.over.rollercoaster.mov,Which one is janging?,fly.behind.kite.mov,1,sled.through.tree.mov,0,7,T,janging_manner_future_clouds,janging_manner_past_clouds,janging_manner_future_cow,janging_manner_past_cow,janging_manner_future_buildings,janging_manner_past_buildings,janging_manner_future_rollercoaster,janging_manner_past_rollercoaster
15,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,7,Motion,Manner,balloon,over,feaving,balloon,The girl is feaving over the eagle. ,The girl is going to feave over the eagle.,The girl feaved over the eagle.,balloon.over.eagle.mov,Which one is feaving?,balloon.up.train.mov,1,ski.over.bush.mov,0,The girl is feaving between the hills.,The girl is going to feave between the hills.,The girl feaved between the hills.,balloon.between.hills.mov,The girl is feaving through the flowers.,The girl is going to feave through the flowers.,The girl feaved through the flowers.,balloon.through.flowers.mov,The girl is feaving in front of the sunflowers.,The girl is going to feave in front of the sunflowers.,The girl feaved in front of the sunflowers.,balloon.front.sunflowers.mov,Which one is feaving?,carpet.over.tiger.mov,0,balloon.down.dog.mov,1,7,T,feaving_manner_future_eagle,feaving_manner_past_eagle,feaving_manner_future_hills,feaving_manner_past_hills,feaving_manner_future_flowers,feaving_manner_past_flowers,feaving_manner_future_sunflowers,feaving_manner_past_sunflowers
16,2,MoM_Instrumental,MannerOfMotionCondition_Instrumental,8,Motion,Manner,camel,front,pilking,camel,The man is pilking in front of the pyramid.,The man is going to pilk in front of the pyramid.,The man pilked in front of the pyramid.,camel.front.pyramid.mov,Which one is pilking?,sled.front.bunny.mov,0,camel.around.goat.mov,1,The man is pilking up to the palmtree.,The man is going to pilk up to the palmtree.,The man pilked up to the palmtree.,camel.up.palmtree.mov,The man is pilking behind the cactus.,The man is going to pilk behind the cactus.,The man pilked behind the cactus.,camel.behind.cactus.mov,The man is pilking into the castle.,The man is going to pilk into the castle.,The man pilked into the castle.,camel.into.castle.mov,Which one is pilking?,camel.through.oasis.mov,1,drive.front.horse.mov,0,7,T,pilking_manner_future_pyramid,pilking_manner_past_pyramid,pilking_manner_future_palmtree,pilking_manner_past_palmtree,pilking_manner_future_cactus,pilking_manner_past_cactus,pilking_manner_future_castle,pilking_manner_past_castle
17,3,MoM_Agentive,PathCondition,1,Motion,Path,crabwalk,into,krading,into,The monster is krading into the garage.,The monster is going to krade into the garage.,The monster kraded into the garage.,crabwalk.into.garage.mov,Which one is krading?,crabwalk.down.birdhouse.mov,1,hop.into.cabin.mov,0,The monster is krading into the barn. ,The monster is going to krade into the barn. ,The monster kraded into the barn. ,stoopwalk.into.barn.mov,The monster is krading into the spaceship. ,The monster is going to krade into the spaceship. ,The monster kraded into the spaceship. ,tiptoe.into.spaceship.mov,The monster is krading into the castle.,The monster is going to krade into the castle.,The monster kraded into the castle.,walk.into.castle.mov,Which one is krading?,roll.into.tower.mov,1,crabwalk.up.cat.mov,0,7.1,T,krading_path_future_garage,krading_path_past_garage,krading_path_future_barn,krading_path_past_barn,krading_path_future_spaceship,krading_path_past_spaceship,krading_path_future_castle,krading_path_past_castle
18,3,MoM_Agentive,PathCondition,2,Motion,Path,crawl,down,glipping,down,The monster is glipping down to the clown.,The monster is going to glip down to the clown.,The monster glipped down to the clown.,crawl.down.clown.mov,Which one is glipping?,flapwalk.down.frog.mov,0,crawl.into.cave.mov,1,The monster is glipping down to the eagle. ,The monster is going to glip down to the eagle. ,The monster glipped down to the eagle. ,roll.down.eagle.mov,The monster is glipping down to the cow. ,The monster is going to glip down to the cow. ,The monster glipped down to the cow. ,walk.down.cow.mov,The monster is glipping down to the dog.,The monster is going to glip down to the dog.,The monster glipped down to the dog.,tiptoe.down.dog.mov,Which one is glipping?,crawl.around.birdhouse.mov,0,stoopwalk.down.lamp.mov,1,7.1,T,glipping_path_future_clown,glipping_path_past_clown,glipping_path_future_eagle,glipping_path_past_eagle,glipping_path_future_cow,glipping_path_past_cow,glipping_path_future_dog,glipping_path_past_dog
19,3,MoM_Agentive,PathCondition,3,Motion,Path,flapwalk,up,zarking,up,The monster is zarking up to the cat.,The monster is going to zark up to the cat.,The monster zarked up to the cat.,flapwalk.up.cat.mov,Which one is zarking?,flapwalk.around.horse.mov,1,crawl.up.swan.mov,0,The monster is zarking up to the owl. ,The monster is going to zark up to the owl. ,The monster zarked up to the owl. ,walk.up.owl.mov,The monster is zarking up to the snowman. ,The monster is going to zark up to the snowman. ,The monster zarked up to the snowman. ,roll.up.snowman.mov,The monster is zarking up to the monkey.,The monster is going to zark up to the monkey.,The monster zarked up to the monkey.,stoopwalk.up.monkey.mov,Which one is zarking?,tiptoe.up.well.mov,1,flapwalk.into.igloo.mov,0,7.1,T,zarking_path_future_cat,zarking_path_past_cat,zarking_path_future_owl,zarking_path_past_owl,zarking_path_future_snowman,zarking_path_past_snowman,zarking_path_future_monkey,zarking_path_past_monkey
20,3,MoM_Agentive,PathCondition,4,Motion,Path,hop,around,molking,around,The monster is molking around the penguin.,The monster is going to molk around the penguin.,The monster molked around the penguin.,hop.around.penguin.mov,Which one is molking?,crabwalk.around.firehouse.mov,0,hop.up.deer.mov,1,The monster is molking around the spaceship. ,The monster is going to molk around the spaceship. ,The monster molked around the spaceship. ,tiptoe.around.spaceship.mov,The monster is molking around the fountain. ,The monster is going to molk around the fountain. ,The monster molked around the fountain. ,stoopwalk.around.fountain.mov,The monster is molking around the drum.,The monster is going to molk around the drum.,The monster molked around the drum.,roll.around.drum.mov,Which one is molking?,hop.down.gazebo.mov,0,walk.around.goat.mov,1,7.1,T,molking_path_future_penguin,molking_path_past_penguin,molking_path_future_spaceship,molking_path_past_spaceship,molking_path_future_fountain,molking_path_past_fountain,molking_path_future_drum,molking_path_past_drum
21,3,MoM_Agentive,PathCondition,5,Motion,Path,roll,between,torging,between,The monster is torging between the trees. ,The monster is going to torg between the trees.,The monster torged between the trees.,roll.between.trees.mov,Which one is torging?,roll.through.tent.mov,1,walk.between.buildings.mov,0,The monster is torging between the mailboxes. ,The monster is going to torg between the mailboxes. ,The monster torged between the mailboxes. ,crawl.between.mailboxes.mov,The monster is torging between the seesaws. ,The monster is going to torg between the seesaws. ,The monster torged between the seesaws. ,flapwalk.between.seesaws.mov,The monster is torging between the snowmen.,The monster is going to torg between the snowmen.,The monster torged between the snowmen.,hop.between.snowmen.mov,Which one is torging?,crabwalk.between.lights.mov,1,roll.over.bush.mov,0,7.1,T,torging_path_future_trees,torging_path_past_trees,torging_path_future_mailboxes,torging_path_past_mailboxes,torging_path_future_seesaws,torging_path_past_seesaws,torging_path_future_snowmen,torging_path_past_snowmen
22,3,MoM_Agentive,PathCondition,6,Motion,Path,stoopwalk,through,pimming,through,The monster is pimming through the flowers.,The monster is going to pim through the flowers.,The monster pimmed through the flowers.,stoopwalk.through.flowers.mov,Which one is pimming?,tiptoe.through.lighthouse.mov,0,stoopwalk.between.swings.mov,1,The monster is pimming through the tunnel. ,The monster is going to pim through the tunnel. ,The monster pimmed through the tunnel. ,crabwalk.through.tunnel.mov,The monster is pimming through the tree. ,The monster is going to pim through the tree. ,The monster pimmed through the tree. ,hop.through.tree.mov,The monster is pimming through the waterfall.,The monster is going to pim through the waterfall.,The monster pimmed through the waterfall.,flapwalk.through.waterfall.mov,Which one is pimming?,stoopwalk.front.fishtank.mov,0,crawl.through.pyramid.mov,1,7.1,T,pimming_path_future_flowers,pimming_path_past_flowers,pimming_path_future_tunnel,pimming_path_past_tunnel,pimming_path_future_tree,pimming_path_past_tree,pimming_path_future_waterfall,pimming_path_past_waterfall
23,3,MoM_Agentive,PathCondition,7,Motion,Path,tiptoe,over,birking,over,The monster is birking over the cone.,The monster is going to birk over the cone.,The monster birked over the cone.,tiptoe.over.cone.mov,Which one is birking?,tiptoe.front.snowplow.mov,1,stoopwalk.over.haystack.mov,0,The monster is birking over the book. ,The monster is going to birk over the book. ,The monster birked over the book. ,hop.over.book.mov,The monster is birking over the tires. ,The monster is going to birk over the tires. ,The monster birked over the tires. ,crabwalk.over.tires.mov,The monster is birking over the mountain.,The monster is going to birk over the mountain.,The monster birked over the mountain.,crawl.over.mountain.mov,Which one is birking?,flapwalk.over.plane.mov,1,tiptoe.between.pigs.mov,0,7.1,T,birking_path_future_cone,birking_path_past_cone,birking_path_future_book,birking_path_past_book,birking_path_future_tires,birking_path_past_tires,birking_path_future_mountain,birking_path_past_mountain
24,3,MoM_Agentive,PathCondition,8,Motion,Path,walk,front,dacking,front,The monster is dacking in front of the elephant. ,The monster is going to dack in front of the elephant.,The monster dacked in front of the elephant.,walk.front.elephant.mov,Which one is dacking?,roll.front.giraffe.mov,0,walk.over.sandpile.mov,1,The monster is dacking in front of the penguin. ,The monster is going to dack in front of the penguin. ,The monster dacked in front of the penguin. ,flapwalk.front.penguin.mov,The monster is dacking in front of the bench. ,The monster is going to dack in front of the bench. ,The monster dacked in front of the bench. ,crawl.front.bench.mov,The monster is dacking in front of the bell.,The monster is going to dack in front of the bell.,The monster dacked in front of the bell.,crabwalk.front.bell.mov,Which one is dacking?,walk.through.hut.mov,0,hop.front.bunny.mov,1,7.1,T,dacking_path_future_elephant,dacking_path_past_elephant,dacking_path_future_penguin,dacking_path_past_penguin,dacking_path_future_bench,dacking_path_past_bench,dacking_path_future_bell,dacking_path_past_bell
25,4,MoM_Instrumental,PathCondition_Instrumental,1,Motion,Path,drive,into,noming,into,The man is noming into the garage.,The man is going to nom into the garage.,The man nommed into the garage.,drive.into.house.mov,Which one is nomming?,drive.over.cone.mov,1,fly.into.spaceship.mov,0,The girl is noming into the barn.,The girl is going to nom into the barn.,The girl nommed into the barn.,skate.into.barn.mov,The boy is noming into the cave.,The boy is going to nom into the cave.,The boy nommed into the cave.,sail.into.cave.mov,The girl is noming into the tree.,The girl is going to nom into the tree.,The girl nommed into the tree.,balloon.into.tree.mov,Which one is nomming?,bike.into.truck.mov,1,drive.around.firehouse.mov,0,7,D,noming_path_future_house,noming_path_past_house,noming_path_future_barn,noming_path_past_barn,noming_path_future_cave,noming_path_past_cave,noming_path_future_tree,noming_path_past_tree
26,4,MoM_Instrumental,PathCondition_Instrumental,2,Motion,Path,carpet,down,meeping,down,The boy is meeping down to the lamp.,The boy is going to meep down to the lamp.,The boy meeped down to the lamp.,carpet.down.lamp.mov,Which one is meeping?,skate.down.seesaw.mov,0,carpet.btw.thrones.mov,1,The man is meeping down to the clown.,The man is going to meep down to the clown.,The man meeped down to the clown.,bike.down.clown.mov,The man is meeping down to the bear.,The man is going to meep down to the bear.,The man meeped down to the bear.,sled.down.bear.mov,The man is meeping down to the cow.,The man is going to meep down to the cow.,The man meeped down to the cow.,fly.down.cow.mov,Which one is meeping?,carpet.into.tower.mov,0,ski.down.owl.mov,1,7,D,meeping_path_future_lamp,meeping_path_past_lamp,meeping_path_future_clown,meeping_path_past_clown,meeping_path_future_bear,meeping_path_past_bear,meeping_path_future_cow,meeping_path_past_cow
27,4,MoM_Instrumental,PathCondition_Instrumental,3,Motion,Path,sail ,up,sterping,up,The boy is sterping up to the swan.,The boy is going to sterp up to the swan.,The boy sterped up to the swan.,sail.up.swan.mov,Which one is sterping?,sail.down.seal.mov,1,carpet.up.monkey.mov,0,The man is sterping up to the palm tree.,The man is going to sterp up to the palm tree.,The man sterped up to the palm tree.,camel.up.palmtree.mov,The girl is sterping up to the dog.,The girl is going to sterp up to the dog.,The girl sterped up to the dog.,skate.up.dog.mov,The man is sterping up to the gingerbread house.,The man is going to sterp up to the gingerbread house.,The man sterped up to the gingerbread house.,sled.up.ginger.mov,Which one is sterping?,fly.up.bus.mov,1,sail.over.float.mov,0,7,D,sterping_path_future_swan,sterping_path_past_swan,sterping_path_future_palmtree,sterping_path_past_palmtree,sterping_path_future_dog,sterping_path_past_dog,sterping_path_future_ginger,sterping_path_past_ginger
28,4,MoM_Instrumental,PathCondition_Instrumental,4,Motion,Path,sled,around,rithing,around,The man is rithing around the penguin.,The man is going to rith around the penguin.,The man rithed around the penguin.,sled.around.penguin.mov,Which one is rithing?,bike.around.birdhouse.mov,0,sled.behind.polarbear.mov,1,The man is rithing around the deer.,The man is going to rith around the deer.,The man rithed around the deer.,ski.around.deer.mov,The man is rithing around the fountain.,The man is going to rith around the fountain.,The man rithed around the fountain.,fly.around.fountain.mov,The girl is rithing around the city.,The girl is going to rith around the city.,The girl rithed around the city.,balloon.around.city.mov,Which one is rithing?,sled.under.butterflies.mov,0,skate.around.horse.mov,1,7,D,rithing_path_future_penguin,rithing_path_past_penguin,rithing_path_future_deer,rithing_path_past_deer,rithing_path_future_fountain,rithing_path_past_fountain,rithing_path_future_city,rithing_path_past_city
29,4,MoM_Instrumental,PathCondition_Instrumental,5,Motion,Path,ski,between,lorping,between,The man is lorping between the trees.,The man is going to lorp between the trees.,The man lorped between the trees.,ski.btw.trees.mov,Which one is lorping?,ski.into.igloo.mov,1,camel.between.trees.mov,0,The man is lorping between the snowmen.,The man is going to lorp between the snowmen.,The man lorped between the snowmen.,sled.btw.snowmen.mov,The man is lorping between the mailboxes.,The man is going to lorp between the mailboxes.,The man lorped between the mailboxes.,bike.between.mailboxes.mov,The man is lorping between the lampposts.,The man is going to lorp between the lampposts.,The man lorped between the lampposts.,drive.between.lights.mov,Which one is lorping?,sail.between.mountains.mov,1,ski.up.snowman.mov,0,7,D,lorping_path_future_trees,lorping_path_past_trees,lorping_path_future_snowmen,lorping_path_past_snowmen,lorping_path_future_mailboxes,lorping_path_past_mailboxes,lorping_path_future_lights,lorping_path_past_lights
30,4,MoM_Instrumental,PathCondition_Instrumental,6,Motion,Path,fly,through,janging,through,The man is janging through the clouds.,The man is going to jang through the clouds.,The man janged through the clouds.,fly.through.clouds.mov,Which one is janging?,drive.through.tunnel.mov,0,fly.under.birds.mov,1,The boy is janging through the flowers.,The boy is going to jang through the flowers.,The boy janged through the flowers.,carpet.through.flowers.mov,The boy is janging through the waterfall.,The boy is going to jang through the waterfall.,The boy janged through the waterfall.,sail.through.waterfall.mov,The man is janging through the gate. ,The man is going to jang through the gate. ,The man janged through the gate. ,ski.through.gate.mov,Which one is janging?,fly.behind.kite.mov,0,sled.through.tree.mov,1,7,D,janging_path_future_clouds,janging_path_past_clouds,janging_path_future_flowers,janging_path_past_flowers,janging_path_future_waterfall,janging_path_past_waterfall,janging_path_future_gate,janging_path_past_gate
